Url,Designer,Bag name,Type,Gender,Hardware,Material Types,Colors,Feet (bottom of bag),Exterior brand markings,Top Handle,Collection name,Years in product,Height (in),Width (in),Length (in),Depth (in),Handle Length,Fits popular devices,Material subtypes,Size (brand's name of size),Photos,Interior material,Exterior material,Shoulder Strap,Handle Drop,Includes,Product Description,Ref number,Suggested retail,Height (cm),Width (cm),Length (cm),Depth (cm),Long handle,Closure type,Exterior pockets,Interior organization,Made in country
https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-monogram-denim-porte-epaule-raye-cabas-gm-ct9kv,Louis Vuitton,Monogram Denim Porte Epaule Raye Cabas GM,,Women,,,,,,,,,4.528,6.398,,2.165,,,,,"https://product-images.therealreal.com/LOU525128_1_enlarged.jpg, https://product-images.therealreal.com/LOU525128_2_enlarged.jpg, https://product-images.therealreal.com/LOU525128_3_enlarged.jpg, https://product-images.therealreal.com/LOU525128_4_enlarged.jpg, https://product-images.therealreal.com/LOU525128_5_enlarged.jpg",,,,"6.5""",,"Louis Vuitton Top Handle Bag
From the 2006 Collection
Blue
Monogram Pattern
Brass Hardware
Leather Trim
Rolled Handles
Leather Trim Embellishment & Single Exterior Pocket
Alcantara Lining & Four Interior Pockets
Zip & Snap Closures at Top
Protective Feet at Base
Includes Dust Bag
Light scuffs throughout; light discoloration at base and interior; moderate marks at interior; light mark at trim.",LOU525128,1545,"11.5""","16.25""",,"5.5""",,,,,
https://www.therealreal.com/products/women/handbags/totes/chanel-medium-ligne-cambon-bucket-bag-csynl,Chanel,Medium Ligne Cambon Bucket Bag,,Women,,,,,,,,,3.74,4.429,,0.787,,,,,"https://product-images.therealreal.com/CHA682087_1_enlarged.jpg, https://product-images.therealreal.com/CHA682087_2_enlarged.jpg, https://product-images.therealreal.com/CHA682087_3_enlarged.jpg, https://product-images.therealreal.com/CHA682087_4_enlarged.jpg, https://product-images.therealreal.com/CHA682087_5_enlarged.jpg",,,,"7""",,"Chanel Bucket Bag
By Karl Lagerfeld
Vintage
Black Lambskin
Interlocking CC Logo
Rolled Handles
Logo Jacquard Lining & Single Interior Pocket
Open Top
Protective Feet at Base
Includes Authenticity Card
Faint wear throughout.",CHA682087,1795,"9.5""","11.25""",,"2""",,,,,
https://www.therealreal.com/products/women/handbags/shoulder-bags/chanel-classic-mini-square-flap-bag-csxjo,Chanel,Classic Mini Square Flap Bag,,Women,,,,,,,,,2.165,2.756,,1.083,,,,,"https://product-images.therealreal.com/CHA682054_1_enlarged.jpg, https://product-images.therealreal.com/CHA682054_2_enlarged.jpg, https://product-images.therealreal.com/CHA682054_3_enlarged.jpg, https://product-images.therealreal.com/CHA682054_4_enlarged.jpg, https://product-images.therealreal.com/CHA682054_5_enlarged.jpg",,,20.5,,,"Chanel Shoulder Bag
By Karl Lagerfeld
Blue Leather
Interlocking CC Logo
Silver-Tone Hardware
Chain-Link Shoulder Strap
Chain-Link Accents
Leather Lining & Dual Interior Pockets
Turn-Lock Closure at Front
Faint marks at front and back; faint spots at front; faint discoloration at base.",CHA682054,4200,"5.5""","7""",,"2.75""",,,,,
https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-monogram-neverfull-gm-csx1t,Louis Vuitton,Monogram Neverfull GM,,Women,,,,,,,,,5.02,8.465,,3.051,,,,,"https://product-images.therealreal.com/LOU524728_1_enlarged.jpg, https://product-images.therealreal.com/LOU524728_2_enlarged.jpg, https://product-images.therealreal.com/LOU524728_3_enlarged.jpg, https://product-images.therealreal.com/LOU524728_4_enlarged.jpg, https://product-images.therealreal.com/LOU524728_5_enlarged.jpg",,,9.5,,,"Louis Vuitton Tote
From the 2014 Collection
Brown Coated Canvas
LV Monogram
Brass Hardware
Leather Trim
Dual Shoulder Straps
Leather Trim Embellishment
Canvas Lining & Single Interior Pocket
Clasp Closure at Top
Includes Dust Bag
Pouch not included; minor residue at interior and pocket; moderate patina at trim and straps; faint marks at exterior and base.",LOU524728,2100,"12.75""","21.5""",,"7.75""",,,,,
https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-odeon-mm-bag-cv7p1,Louis Vuitton,Odeon MM Bag,,Women,,,,,,,,,13.386,5.118,,0.787,,,,,"https://product-images.therealreal.com/LOU518846_1_enlarged.jpg, https://product-images.therealreal.com/LOU518846_2_enlarged.jpg, https://product-images.therealreal.com/LOU518846_3_enlarged.jpg, https://product-images.therealreal.com/LOU518846_4_enlarged.jpg, https://product-images.therealreal.com/LOU518846_5_enlarged.jpg",,,22,,,"Louis Vuitton Shoulder Bag
Brown Coated Canvas
LV Monogram
Gold-Tone Hardware
Single Adjustable Shoulder Strap
Grosgrain Lining
Zip Closure at Top
Minor wear throughout.",LOU518846,1395,"34""","13""",,"2""",,,,,
https://www.therealreal.com/products/women/handbags/hobos/louis-vuitton-monogram-idylle-fantaisie-bag-cr5pj,Louis Vuitton,Monogram Idylle Fantaisie Bag,,Women,,,,,,,,,4.724,6.496,,1.772,,,,,"https://product-images.therealreal.com/LOU522556_1_enlarged.jpg, https://product-images.therealreal.com/LOU522556_2_enlarged.jpg, https://product-images.therealreal.com/LOU522556_3_enlarged.jpg, https://product-images.therealreal.com/LOU522556_4_enlarged.jpg, https://product-images.therealreal.com/LOU522556_5_enlarged.jpg",,,10,,,"Louis Vuitton Hobo
From the 2011 Collection
Pink & Purple
Monogram Idylle Pattern
Brass Hardware
Leather Trim
Dual Shoulder Straps
Leather Trim Embellishment
Canvas Lining & Three Interior Pockets
Snap Closure at Top
Moderate residue at base; light spot at front; light mark at back; minor residue at lining.",LOU522556,1520,"12""","16.5""",,"4.5""",,,,,
https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-saint-jacques-epi-bag-cv7ku,Louis Vuitton,Saint Jacques Epi Bag,,Women,,,,,,,,,8.661,6.791,,2.559,,,,,"https://product-images.therealreal.com/LOU519454_1_enlarged.jpg, https://product-images.therealreal.com/LOU519454_2_enlarged.jpg, https://product-images.therealreal.com/LOU519454_3_enlarged.jpg, https://product-images.therealreal.com/LOU519454_4_enlarged.jpg, https://product-images.therealreal.com/LOU519454_5_enlarged.jpg",,,10.25,,,"Louis Vuitton Shoulder Bag
Red Epi Leather
Gold-Tone Hardware
Suede Lining & Single Interior Pocket
Zip Closure at Top
Tarnishing at hardware.",LOU519454,525,"22""","17.25""",,"6.5""",,,,,
https://www.therealreal.com/products/women/handbags/handle-bags/louis-vuitton-monogram-empreinte-montaigne-bb-cvoia,Louis Vuitton,Monogram Empreinte Montaigne BB,,Women,,,,,,,,,3.15,3.937,,1.969,,,,,"https://product-images.therealreal.com/LOU520695_1_enlarged.jpg, https://product-images.therealreal.com/LOU520695_2_enlarged.jpg, https://product-images.therealreal.com/LOU520695_3_enlarged.jpg",,,22,"4""",,"Louis Vuitton Top Handle Bag
From the 2015 Collection
Neutrals Leather
Gold-Tone Hardware
Rolled Handles & Single Shoulder Strap
Canvas Lining & Three Interior Pockets
Clasp Closure at Top
Protective Feet at Base
Includes Lock, Keys & Clochette
Light marks at exterior.",LOU520695,3050,"8""","10""",,"5""",,,,,
https://www.therealreal.com/products/women/handbags/luggage-and-travel/louis-vuitton-sac-souple-cv7i0,Louis Vuitton,Sac Souple,,Women,,,,,,,,,8.268,8.465,,4.724,,,,,"https://product-images.therealreal.com/LOU520639_1_enlarged.jpg, https://product-images.therealreal.com/LOU520639_2_enlarged.jpg, https://product-images.therealreal.com/LOU520639_3_enlarged.jpg, https://product-images.therealreal.com/LOU520639_4_enlarged.jpg, https://product-images.therealreal.com/LOU520639_5_enlarged.jpg",,,,"7""",,"Louis Vuitton Weekender Bag
Brown Coated Canvas
LV Monogram
Gold-Tone Hardware
Grosgrain Lining
Zip Closure at Top
minor spots at exterior.",LOU520639,825,"21""","21.5""",,"12""",,,,,
https://www.therealreal.com/products/women/handbags/luggage-and-travel/louis-vuitton-sac-souple-bag-cv4mb,Louis Vuitton,Sac Souple Bag,,Women,,,,,,,,,8.661,7.087,,3.15,,,,,"https://product-images.therealreal.com/LOU519027_1_enlarged.jpg, https://product-images.therealreal.com/LOU519027_2_enlarged.jpg, https://product-images.therealreal.com/LOU519027_3_enlarged.jpg, https://product-images.therealreal.com/LOU519027_4_enlarged.jpg, https://product-images.therealreal.com/LOU519027_5_enlarged.jpg",,,,"7""",,"Louis Vuitton Weekender Bag
Brown Coated Canvas
LV Monogram
Gold-Tone Hardware
Flat Handles
Grosgrain Lining
Zip Closure at Top
moderate spots at exterior.",LOU519027,725,"22""","18""",,"8""",,,,,
https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-saumur-35-cv3ju,Louis Vuitton,Saumur 35,,Women,,,,,,,,,11.811,6.102,,2.756,,,,,"https://product-images.therealreal.com/LOU525247_1_enlarged.jpg, https://product-images.therealreal.com/LOU525247_2_enlarged.jpg, https://product-images.therealreal.com/LOU525247_3_enlarged.jpg, https://product-images.therealreal.com/LOU525247_4_enlarged.jpg, https://product-images.therealreal.com/LOU525247_5_enlarged.jpg",,,17,,,"Louis Vuitton Shoulder Bag
Brown
LV Monogram
Gold-Tone Hardware
Single Adjustable Shoulder Strap
Grosgrain Lining
Pull-Through Closure at Front
Minor wear throughout.",LOU525247,775,"30""","15.5""",,"7""",,,,,
https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-neverfull-mm-bag-cv3eq,Louis Vuitton,Neverfull MM Bag,,Women,,,,,,,,,7.283,7.283,,2.362,,,,,"https://product-images.therealreal.com/LOU519048_1_enlarged.jpg, https://product-images.therealreal.com/LOU519048_2_enlarged.jpg, https://product-images.therealreal.com/LOU519048_3_enlarged.jpg, https://product-images.therealreal.com/LOU519048_4_enlarged.jpg, https://product-images.therealreal.com/LOU519048_5_enlarged.jpg",,,8,,,"Louis Vuitton Tote
Brown Coated Canvas
LV Monogram
Gold-Tone Hardware
Dual Shoulder Straps
Grosgrain Lining
Open Top
No visible signs of wear.",LOU519048,2200,"18.5""","18.5""",,"6""",,,,,
https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-damier-ebene-naviglio-bag-cv2k8,Louis Vuitton,Damier Ebene Naviglio Bag,,Women,,,,,,,,,3.74,5.217,,2.165,,,,,"https://product-images.therealreal.com/LOU525278_1_enlarged.jpg, https://product-images.therealreal.com/LOU525278_2_enlarged.jpg, https://product-images.therealreal.com/LOU525278_3_enlarged.jpg, https://product-images.therealreal.com/LOU525278_4_enlarged.jpg, https://product-images.therealreal.com/LOU525278_5_enlarged.jpg",,,21,"30.5""",,"Louis Vuitton Shoulder Bag
Brown Coated Canvas
Damier Ebene Pattern
Gold-Tone Hardware
Single Adjustable Shoulder Strap
Grosgrain Lining
Zip Closure at Top
Minor wear throughout.",LOU525278,995,"9.5""","13.25""",,"5.5""",,,,,
https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-mini-lin-saumur-30-bag-cv2gp,Louis Vuitton,Mini Lin Saumur 30 Bag,,Women,,,,,,,,,11.024,4.724,,1.969,,,,,"https://product-images.therealreal.com/LOU525292_1_enlarged.jpg, https://product-images.therealreal.com/LOU525292_2_enlarged.jpg, https://product-images.therealreal.com/LOU525292_3_enlarged.jpg, https://product-images.therealreal.com/LOU525292_4_enlarged.jpg, https://product-images.therealreal.com/LOU525292_5_enlarged.jpg",,,19.5,,,"Louis Vuitton Shoulder Bag
Brown
Printed
Gold-Tone Hardware
Single Adjustable Shoulder Strap
Twill Lining
Pull-Through Closure at Front
Minor wear throughout.",LOU525292,825,"28""","12""",,"5""",,,,,
https://www.therealreal.com/products/women/handbags/shoulder-bags/louis-vuitton-mini-lin-saumur-30-bag-cv256,Louis Vuitton,Mini Lin Saumur 30 Bag,,Women,,,,,,,,,3.543,4.921,,1.181,,,,,"https://product-images.therealreal.com/LOU525276_1_enlarged.jpg, https://product-images.therealreal.com/LOU525276_2_enlarged.jpg, https://product-images.therealreal.com/LOU525276_3_enlarged.jpg, https://product-images.therealreal.com/LOU525276_4_enlarged.jpg, https://product-images.therealreal.com/LOU525276_5_enlarged.jpg",,,19.5,,,"Louis Vuitton Shoulder Bag
Brown
LV Monogram
Gold-Tone Hardware
Single Adjustable Shoulder Strap
Twill Lining
Pull-Through Closure at Front
Includes Dust Bag
Minor wear throughout.",LOU525276,875,"9""","12.5""",,"3""",,,,,
https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-saleya-mm-bags-cv1u5,Louis Vuitton,Saleya MM Bags,,Women,,,,,,,,,7.283,7.087,,2.756,,,,,"https://product-images.therealreal.com/LOU519044_1_enlarged.jpg, https://product-images.therealreal.com/LOU519044_2_enlarged.jpg, https://product-images.therealreal.com/LOU519044_3_enlarged.jpg, https://product-images.therealreal.com/LOU519044_4_enlarged.jpg, https://product-images.therealreal.com/LOU519044_5_enlarged.jpg",,,,"7.5""",,"Louis Vuitton Tote
Brown Coated Canvas
Damier Ebene Pattern
Gold-Tone Hardware
Rolled Handles
Suede Lining
Zip Closure at Top
Minor wear throughout.",LOU519044,1095,"18.5""","18""",,"7""",,,,,
https://www.therealreal.com/products/women/handbags/totes/louis-vuitton-damier-ebene-neverfull-mm-bag-cv1o9,Louis Vuitton,Damier Ebene Neverfull MM Bag,,Women,,,,,,,,,7.48,7.087,,2.165,,,,,"https://product-images.therealreal.com/LOU525244_1_enlarged.jpg, https://product-images.therealreal.com/LOU525244_2_enlarged.jpg, https://product-images.therealreal.com/LOU525244_3_enlarged.jpg, https://product-images.therealreal.com/LOU525244_4_enlarged.jpg, https://product-images.therealreal.com/LOU525244_5_enlarged.jpg",,,8,,,"Louis Vuitton Tote
Brown Coated Canvas
Printed
Gold-Tone Hardware
Dual Shoulder Straps
Grosgrain Lining
Open Top
No visible signs of wear.",LOU525244,2300,"19""","18""",,"5.5""",,,,,
