rank,term,popularity,pop_num,growth_pct,brand,suggested_content,our_page,sat_priority,creators_saturation,content_status
120,chloe betty bag,271K,271000,37.4%,Chloé,Video (trend showcase),,276.6,,
121,Dior canvas,270K,270000,,Dior,Video (trend showcase),,337.5,,
122,goyard backpack price,269K,269000,,Goyard,Article + video (explainer/comparison),,453.9,,
123,coach chanel bag,268K,268000,63.1%,Chanel,Video (trend showcase),,443.9,,
124,louis vuitton horsebit 1955 mini bag,268K,268000,33.4%,Louis Vuitton,Video (style/size showcase),,341.3,,
125,it's not a bag it's a birkin,268K,268000,,Hermès,Video (trend showcase),,428.8,,
126,gucci python bag,268K,268000,,Gucci,Video (trend showcase),,335.0,,
127,goyard artois pm,267K,267000,,Goyard,Video (trend showcase),,333.8,,
128,gucci dachshund bag,267K,267000,44.0%,Gucci,Video (trend showcase),,342.0,,
129,white prada bag,267K,267000,36.5%,Prada,Video (trend showcase),,272.5,,
130,balenciaga hobo bag,267K,267000,,Balenciaga,Video (trend showcase),,267.0,,
131,chanel handbags,266K,266000,,Chanel,Video (trend showcase),,425.6,,
132,miss Dior bag,266K,266000,,Dior,Video (trend showcase),,332.5,,
133,LV denim bags,266K,266000,8.4%,Louis Vuitton,Video (trend showcase),,334.1,,
134,mini dionysus gucci bag,266K,266000,349.5%,Gucci,Video (style/size showcase),,398.0,,
135,Chanel flap,265K,265000,,Chanel,Video (trend showcase),/articles/is-the-chanel-classic-flap-worth-it,424.0,,
136,green goyard,265K,265000,191.8%,Goyard,Video (trend showcase),,367.2,,
137,prada and gucci don't go together,264K,264000,,Gucci,Video (trend showcase),,330.0,,
138,1990 louis vuitton,262K,262000,209.7%,Louis Vuitton,Video (trend showcase),,366.8,,
139,bring it on louis vuitton bag,262K,262000,,Louis Vuitton,Video (trend showcase),,327.5,,
140,Dior Raffia Pouch,262K,262000,,Dior,Video (style/size showcase),,327.5,,
141,rarest birkin bag,262K,262000,343.6%,Hermès,Video (trend showcase),,501.7,,
142,chanel mini kelly,262K,262000,83.6%,Hermès,Video (style/size showcase),,439.3,,
143,goyard gm tote bag,261K,261000,,Goyard,Video (style/size showcase),,326.2,,
144,LV pink denim bag,260K,260000,,Louis Vuitton,Video (trend showcase),,325.0,,
145,chanel crossbody bag,259K,259000,150.6%,Chanel,Video (style/size showcase),,450.5,,
146,why is birkin expensive,259K,259000,30.5%,Hermès,Article + video (explainer/comparison),,569.3,,
147,giant gucci bag,258K,258000,65.0%,Gucci,Video (trend showcase),,334.7,,
148,hermes picotin price,257K,257000,,Hermès,Article + video (explainer/comparison),,555.1,,
149,everyday coach purse,257K,257000,313.4%,Coach,Video (trend showcase),,486.4,,
150,louis vuitton pm agenda,257K,257000,49.4%,Louis Vuitton,Video (trend showcase),,330.5,,
151,nice mini LV bag,257K,257000,39.7%,Louis Vuitton,Video (style/size showcase),,328.7,,
152,birkin raincoat,256K,256000,,Hermès,Video (trend showcase),,409.6,,
153,coach purse collection,255K,255000,,Coach,Video (trend showcase),,408.0,,
154,LV pochette LV bag,255K,255000,,Louis Vuitton,Video (trend showcase),,318.8,,
155,buying a birkin bag,255K,255000,,Hermès,Video (trend showcase),,408.0,,
156,carry all louis vuitton,254K,254000,134.6%,Louis Vuitton,Video (trend showcase),,342.7,,
